,Impact,poorPerfection,poornessPercent,goodDesignsElim,totalPerfection,numCorrect,goodPerfection,goodnessPercent,numIncorrect,poorEliminationPercent,poorDesignsElim
rule_B2_S1_Rule_A,-14,False,69,905,False,1700,False,54,2296,40,607
rule_H2_P1_Rule_B,0,False,97,62,False,1994,False,96,2002,48,58
rule_A1_B1_Rule_T,-2,False,49,1070,False,1946,False,46,2050,48,1018
rule_H2_P1_Rule_A,-23,False,88,705,False,1524,False,64,2472,24,231
rule_P2_Rule_M,-51,False,63,1757,False,968,False,12,3028,29,727
rule_B2_S1_Rule_B,2,False,96,22,False,2038,False,98,1958,73,62
rule_P2_Rule_R,14,False,84,20,False,2282,False,98,1714,93,304
rule_H1andY_PB2andPH1_Rule_O,-26,False,53,1455,False,1464,False,27,2532,38,921
rule_B2_H1_Rule_A,-14,False,69,905,False,1700,False,54,2296,40,607
rule_B2_S1_Rule_F,-14,False,69,905,False,1700,False,54,2296,40,607
rule_B2_H1_Rule_B,-6,True,100,120,False,1878,False,93,2118,0,0
rule_B2_H1_Rule_F,-14,False,69,905,False,1700,False,54,2296,40,607
rule_B1_P1_Rule_A,-13,False,68,888,False,1734,False,55,2262,41,624
rule_B2_P1_Rule_F,-14,False,69,905,False,1700,False,54,2296,40,607
rule_H1_Y_Rule_B,0,False,100,0,True,1998,False,100,1998,,0
rule_B2_P1_Rule_B,2,False,92,91,False,2056,False,95,1940,62,149
rule_B2_P1_Rule_A,-14,False,69,905,False,1700,False,54,2296,40,607
rule_H1_Y_Rule_F,-19,False,86,661,False,1612,False,66,2384,29,275
rule_P2_B2_Rule_T,7,False,42,1002,False,2154,False,49,1842,53,1158
rule_PA2_Rule_R,0,False,100,0,True,1998,False,100,1998,,0
rule_H2_Rule_R,-6,False,98,161,False,1874,False,91,2122,18,37
rule_H1_Y_Rule_A,-19,False,86,661,False,1612,False,66,2384,29,275
rule_B1andS1_PA2andPB1_Rule_O,-1,False,93,165,False,1970,False,91,2026,45,137
rule_B2andS1_PS1andPIn1_Rule_O,-1,False,63,754,False,1974,False,62,2022,49,730
rule_PA2_Rule_M,9,False,9,1616,False,2186,False,19,1810,52,1804
rule_PB1_Rule_NI,-8,False,74,682,False,1822,False,65,2174,42,506
rule_B1andP2_PA1andPA2_Rule_O,0,False,92,146,False,1994,False,92,2002,49,142
rule_PB2_H2_Rule_I,-3,True,100,72,False,1926,False,96,2070,0,0
rule_P1andY_PA1andPA2_Rule_O,-18,False,80,758,False,1634,False,62,2362,34,394
rule_PH1_Rule_R,0,False,100,0,True,1998,False,100,1998,,0
rule_P1_S1_Rule_T,35,False,36,560,False,2714,False,71,1282,69,1276
rule_PA1_A1_Rule_I,0,False,100,0,True,1998,False,100,1998,,0
rule_PH1_Rule_M,32,False,20,933,False,2652,False,53,1344,62,1587
rule_B1_S1_Rule_F,-13,False,68,888,False,1734,False,55,2262,41,624
rule_PIn1_H2_Rule_I,-16,False,98,350,False,1676,False,82,2320,7,28
rule_H2_S1_Rule_T,-7,False,68,781,False,1840,False,60,2156,44,623
